entidad_id,entidad_nombre,sexo,grupo_edad,total
1,aguascalientes,Hombres,Adolescentes (10-19),117
1,aguascalientes,Mujeres,Adolescentes (10-19),216
1,aguascalientes,Hombres,Adultos (36-59),172
1,aguascalientes,Mujeres,Adultos (36-59),47
1,aguascalientes,Hombres,Adultos mayores (60+),47
1,aguascalientes,Mujeres,Adultos mayores (60+),13
1,aguascalientes,Hombres,Infancias (0-9),27
1,aguascalientes,Mujeres,Infancias (0-9),17
1,aguascalientes,Hombres,Jóvenes (20-35),218
1,aguascalientes,Mujeres,Jóvenes (20-35),107
2,baja california,Hombres,Adolescentes (10-19),79
2,baja california,Mujeres,Adolescentes (10-19),61
2,baja california,Hombres,Adultos (36-59),229
2,baja california,Mujeres,Adultos (36-59),45
2,baja california,Hombres,Adultos mayores (60+),28
2,baja california,Mujeres,Adultos mayores (60+),3
2,baja california,Hombres,Infancias (0-9),8
2,baja california,Mujeres,Infancias (0-9),7
2,baja california,Hombres,Jóvenes (20-35),322
2,baja california,Mujeres,Jóvenes (20-35),97
3,baja california sur,Hombres,Adolescentes (10-19),63
3,baja california sur,Mujeres,Adolescentes (10-19),127
3,baja california sur,Hombres,Adultos (36-59),93
3,baja california sur,Mujeres,Adultos (36-59),20
3,baja california sur,Hombres,Adultos mayores (60+),23
3,baja california sur,Mujeres,Adultos mayores (60+),2
3,baja california sur,Hombres,Infancias (0-9),7
3,baja california sur,Mujeres,Infancias (0-9),5
3,baja california sur,Hombres,Jóvenes (20-35),122
3,baja california sur,Mujeres,Jóvenes (20-35),57
4,campeche,Hombres,Adolescentes (10-19),19
4,campeche,Mujeres,Adolescentes (10-19),51
4,campeche,Hombres,Adultos (36-59),21
4,campeche,Mujeres,Adultos (36-59),8
4,campeche,Hombres,Adultos mayores (60+),5
4,campeche,Mujeres,Adultos mayores (60+),1
4,campeche,Hombres,Infancias (0-9),3
4,campeche,Mujeres,Infancias (0-9),2
4,campeche,Hombres,Jóvenes (20-35),35
4,campeche,Mujeres,Jóvenes (20-35),15
5,coahuila,Hombres,Adolescentes (10-19),5
5,coahuila,Mujeres,Adolescentes (10-19),8
5,coahuila,Hombres,Adultos (36-59),41
5,coahuila,Mujeres,Adultos (36-59),9
5,coahuila,Hombres,Adultos mayores (60+),5
5,coahuila,Mujeres,Adultos mayores (60+),1
5,coahuila,Hombres,Infancias (0-9),1
5,coahuila,Mujeres,Infancias (0-9),1
5,coahuila,Hombres,Jóvenes (20-35),56
5,coahuila,Mujeres,Jóvenes (20-35),24
6,colima,Hombres,Adolescentes (10-19),7
6,colima,Mujeres,Adolescentes (10-19),1
6,colima,Hombres,Adultos (36-59),11
6,colima,Mujeres,Adultos (36-59),2
6,colima,Hombres,Adultos mayores (60+),0
6,colima,Mujeres,Adultos mayores (60+),0
6,colima,Hombres,Infancias (0-9),1
6,colima,Mujeres,Infancias (0-9),2
6,colima,Hombres,Jóvenes (20-35),19
6,colima,Mujeres,Jóvenes (20-35),6
7,chiapas,Hombres,Adolescentes (10-19),147
7,chiapas,Mujeres,Adolescentes (10-19),283
7,chiapas,Hombres,Adultos (36-59),258
7,chiapas,Mujeres,Adultos (36-59),50
7,chiapas,Hombres,Adultos mayores (60+),57
7,chiapas,Mujeres,Adultos mayores (60+),11
7,chiapas,Hombres,Infancias (0-9),63
7,chiapas,Mujeres,Infancias (0-9),50
7,chiapas,Hombres,Jóvenes (20-35),318
7,chiapas,Mujeres,Jóvenes (20-35),123
8,chihuahua,Hombres,Adolescentes (10-19),31
8,chihuahua,Mujeres,Adolescentes (10-19),31
8,chihuahua,Hombres,Adultos (36-59),55
8,chihuahua,Mujeres,Adultos (36-59),10
8,chihuahua,Hombres,Adultos mayores (60+),6
8,chihuahua,Mujeres,Adultos mayores (60+),2
8,chihuahua,Hombres,Infancias (0-9),6
8,chihuahua,Mujeres,Infancias (0-9),0
8,chihuahua,Hombres,Jóvenes (20-35),80
8,chihuahua,Mujeres,Jóvenes (20-35),29
9,ciudad de mexico,Hombres,Adolescentes (10-19),332
9,ciudad de mexico,Mujeres,Adolescentes (10-19),675
9,ciudad de mexico,Hombres,Adultos (36-59),431
9,ciudad de mexico,Mujeres,Adultos (36-59),145
9,ciudad de mexico,Hombres,Adultos mayores (60+),198
9,ciudad de mexico,Mujeres,Adultos mayores (60+),87
9,ciudad de mexico,Hombres,Infancias (0-9),67
9,ciudad de mexico,Mujeres,Infancias (0-9),73
9,ciudad de mexico,Hombres,Jóvenes (20-35),445
9,ciudad de mexico,Mujeres,Jóvenes (20-35),219
10,durango,Hombres,Adolescentes (10-19),112
10,durango,Mujeres,Adolescentes (10-19),169
10,durango,Hombres,Adultos (36-59),136
10,durango,Mujeres,Adultos (36-59),35
10,durango,Hombres,Adultos mayores (60+),34
10,durango,Mujeres,Adultos mayores (60+),7
10,durango,Hombres,Infancias (0-9),9
10,durango,Mujeres,Infancias (0-9),6
10,durango,Hombres,Jóvenes (20-35),182
10,durango,Mujeres,Jóvenes (20-35),73
11,guanajuato,Hombres,Adolescentes (10-19),111
11,guanajuato,Mujeres,Adolescentes (10-19),193
11,guanajuato,Hombres,Adultos (36-59),222
11,guanajuato,Mujeres,Adultos (36-59),75
11,guanajuato,Hombres,Adultos mayores (60+),36
11,guanajuato,Mujeres,Adultos mayores (60+),11
11,guanajuato,Hombres,Infancias (0-9),21
11,guanajuato,Mujeres,Infancias (0-9),18
11,guanajuato,Hombres,Jóvenes (20-35),406
11,guanajuato,Mujeres,Jóvenes (20-35),144
12,guerrero,Hombres,Adolescentes (10-19),27
12,guerrero,Mujeres,Adolescentes (10-19),38
12,guerrero,Hombres,Adultos (36-59),89
12,guerrero,Mujeres,Adultos (36-59),16
12,guerrero,Hombres,Adultos mayores (60+),21
12,guerrero,Mujeres,Adultos mayores (60+),1
12,guerrero,Hombres,Infancias (0-9),2
12,guerrero,Mujeres,Infancias (0-9),4
12,guerrero,Hombres,Jóvenes (20-35),138
12,guerrero,Mujeres,Jóvenes (20-35),42
13,hidalgo,Hombres,Adolescentes (10-19),133
13,hidalgo,Mujeres,Adolescentes (10-19),266
13,hidalgo,Hombres,Adultos (36-59),153
13,hidalgo,Mujeres,Adultos (36-59),58
13,hidalgo,Hombres,Adultos mayores (60+),39
13,hidalgo,Mujeres,Adultos mayores (60+),16
13,hidalgo,Hombres,Infancias (0-9),36
13,hidalgo,Mujeres,Infancias (0-9),32
13,hidalgo,Hombres,Jóvenes (20-35),210
13,hidalgo,Mujeres,Jóvenes (20-35),143
14,jalisco,Hombres,Adolescentes (10-19),26
14,jalisco,Mujeres,Adolescentes (10-19),6
14,jalisco,Hombres,Adultos (36-59),43
14,jalisco,Mujeres,Adultos (36-59),7
14,jalisco,Hombres,Adultos mayores (60+),11
14,jalisco,Mujeres,Adultos mayores (60+),0
14,jalisco,Hombres,Infancias (0-9),1
14,jalisco,Mujeres,Infancias (0-9),0
14,jalisco,Hombres,Jóvenes (20-35),98
14,jalisco,Mujeres,Jóvenes (20-35),14
15,estado de mexico,Hombres,Adolescentes (10-19),755
15,estado de mexico,Mujeres,Adolescentes (10-19),1498
15,estado de mexico,Hombres,Adultos (36-59),826
15,estado de mexico,Mujeres,Adultos (36-59),279
15,estado de mexico,Hombres,Adultos mayores (60+),312
15,estado de mexico,Mujeres,Adultos mayores (60+),102
15,estado de mexico,Hombres,Infancias (0-9),336
15,estado de mexico,Mujeres,Infancias (0-9),337
15,estado de mexico,Hombres,Jóvenes (20-35),1164
15,estado de mexico,Mujeres,Jóvenes (20-35),618
16,michoacan,Hombres,Adolescentes (10-19),133
16,michoacan,Mujeres,Adolescentes (10-19),126
16,michoacan,Hombres,Adultos (36-59),363
16,michoacan,Mujeres,Adultos (36-59),62
16,michoacan,Hombres,Adultos mayores (60+),52
16,michoacan,Mujeres,Adultos mayores (60+),11
16,michoacan,Hombres,Infancias (0-9),20
16,michoacan,Mujeres,Infancias (0-9),28
16,michoacan,Hombres,Jóvenes (20-35),524
16,michoacan,Mujeres,Jóvenes (20-35),110
17,morelos,Hombres,Adolescentes (10-19),84
17,morelos,Mujeres,Adolescentes (10-19),100
17,morelos,Hombres,Adultos (36-59),107
17,morelos,Mujeres,Adultos (36-59),19
17,morelos,Hombres,Adultos mayores (60+),28
17,morelos,Mujeres,Adultos mayores (60+),10
17,morelos,Hombres,Infancias (0-9),39
17,morelos,Mujeres,Infancias (0-9),28
17,morelos,Hombres,Jóvenes (20-35),152
17,morelos,Mujeres,Jóvenes (20-35),72
18,nayarit,Hombres,Adolescentes (10-19),75
18,nayarit,Mujeres,Adolescentes (10-19),126
18,nayarit,Hombres,Adultos (36-59),96
18,nayarit,Mujeres,Adultos (36-59),20
18,nayarit,Hombres,Adultos mayores (60+),27
18,nayarit,Mujeres,Adultos mayores (60+),3
18,nayarit,Hombres,Infancias (0-9),12
18,nayarit,Mujeres,Infancias (0-9),5
18,nayarit,Hombres,Jóvenes (20-35),146
18,nayarit,Mujeres,Jóvenes (20-35),47
19,nuevo leon,Hombres,Adolescentes (10-19),346
19,nuevo leon,Mujeres,Adolescentes (10-19),659
19,nuevo leon,Hombres,Adultos (36-59),525
19,nuevo leon,Mujeres,Adultos (36-59),146
19,nuevo leon,Hombres,Adultos mayores (60+),149
19,nuevo leon,Mujeres,Adultos mayores (60+),37
19,nuevo leon,Hombres,Infancias (0-9),54
19,nuevo leon,Mujeres,Infancias (0-9),61
19,nuevo leon,Hombres,Jóvenes (20-35),737
19,nuevo leon,Mujeres,Jóvenes (20-35),308
20,oaxaca,Hombres,Adolescentes (10-19),9
20,oaxaca,Mujeres,Adolescentes (10-19),9
20,oaxaca,Hombres,Adultos (36-59),20
20,oaxaca,Mujeres,Adultos (36-59),7
20,oaxaca,Hombres,Adultos mayores (60+),5
20,oaxaca,Mujeres,Adultos mayores (60+),0
20,oaxaca,Hombres,Infancias (0-9),1
20,oaxaca,Mujeres,Infancias (0-9),1
20,oaxaca,Hombres,Jóvenes (20-35),28
20,oaxaca,Mujeres,Jóvenes (20-35),7
21,puebla,Hombres,Adolescentes (10-19),244
21,puebla,Mujeres,Adolescentes (10-19),570
21,puebla,Hombres,Adultos (36-59),289
21,puebla,Mujeres,Adultos (36-59),93
21,puebla,Hombres,Adultos mayores (60+),116
21,puebla,Mujeres,Adultos mayores (60+),38
21,puebla,Hombres,Infancias (0-9),108
21,puebla,Mujeres,Infancias (0-9),125
21,puebla,Hombres,Jóvenes (20-35),433
21,puebla,Mujeres,Jóvenes (20-35),282
22,queretaro,Hombres,Adolescentes (10-19),44
22,queretaro,Mujeres,Adolescentes (10-19),52
22,queretaro,Hombres,Adultos (36-59),60
22,queretaro,Mujeres,Adultos (36-59),21
22,queretaro,Hombres,Adultos mayores (60+),21
22,queretaro,Mujeres,Adultos mayores (60+),3
22,queretaro,Hombres,Infancias (0-9),5
22,queretaro,Mujeres,Infancias (0-9),7
22,queretaro,Hombres,Jóvenes (20-35),94
22,queretaro,Mujeres,Jóvenes (20-35),37
23,quintana roo,Hombres,Adolescentes (10-19),99
23,quintana roo,Mujeres,Adolescentes (10-19),205
23,quintana roo,Hombres,Adultos (36-59),150
23,quintana roo,Mujeres,Adultos (36-59),32
23,quintana roo,Hombres,Adultos mayores (60+),32
23,quintana roo,Mujeres,Adultos mayores (60+),8
23,quintana roo,Hombres,Infancias (0-9),7
23,quintana roo,Mujeres,Infancias (0-9),7
23,quintana roo,Hombres,Jóvenes (20-35),225
23,quintana roo,Mujeres,Jóvenes (20-35),64
24,san luis potosi,Hombres,Adolescentes (10-19),71
24,san luis potosi,Mujeres,Adolescentes (10-19),126
24,san luis potosi,Hombres,Adultos (36-59),87
24,san luis potosi,Mujeres,Adultos (36-59),27
24,san luis potosi,Hombres,Adultos mayores (60+),46
24,san luis potosi,Mujeres,Adultos mayores (60+),6
24,san luis potosi,Hombres,Infancias (0-9),17
24,san luis potosi,Mujeres,Infancias (0-9),17
24,san luis potosi,Hombres,Jóvenes (20-35),150
24,san luis potosi,Mujeres,Jóvenes (20-35),50
25,sinaloa,Hombres,Adolescentes (10-19),124
25,sinaloa,Mujeres,Adolescentes (10-19),75
25,sinaloa,Hombres,Adultos (36-59),392
25,sinaloa,Mujeres,Adultos (36-59),46
25,sinaloa,Hombres,Adultos mayores (60+),51
25,sinaloa,Mujeres,Adultos mayores (60+),6
25,sinaloa,Hombres,Infancias (0-9),9
25,sinaloa,Mujeres,Infancias (0-9),1
25,sinaloa,Hombres,Jóvenes (20-35),634
25,sinaloa,Mujeres,Jóvenes (20-35),68
26,sonora,Hombres,Adolescentes (10-19),210
26,sonora,Mujeres,Adolescentes (10-19),148
26,sonora,Hombres,Adultos (36-59),381
26,sonora,Mujeres,Adultos (36-59),61
26,sonora,Hombres,Adultos mayores (60+),59
26,sonora,Mujeres,Adultos mayores (60+),10
26,sonora,Hombres,Infancias (0-9),20
26,sonora,Mujeres,Infancias (0-9),10
26,sonora,Hombres,Jóvenes (20-35),577
26,sonora,Mujeres,Jóvenes (20-35),98
27,tabasco,Hombres,Adolescentes (10-19),15
27,tabasco,Mujeres,Adolescentes (10-19),18
27,tabasco,Hombres,Adultos (36-59),44
27,tabasco,Mujeres,Adultos (36-59),4
27,tabasco,Hombres,Adultos mayores (60+),12
27,tabasco,Mujeres,Adultos mayores (60+),0
27,tabasco,Hombres,Infancias (0-9),3
27,tabasco,Mujeres,Infancias (0-9),2
27,tabasco,Hombres,Jóvenes (20-35),67
27,tabasco,Mujeres,Jóvenes (20-35),8
28,tamaulipas,Hombres,Adolescentes (10-19),140
28,tamaulipas,Mujeres,Adolescentes (10-19),227
28,tamaulipas,Hombres,Adultos (36-59),328
28,tamaulipas,Mujeres,Adultos (36-59),44
28,tamaulipas,Hombres,Adultos mayores (60+),66
28,tamaulipas,Mujeres,Adultos mayores (60+),12
28,tamaulipas,Hombres,Infancias (0-9),7
28,tamaulipas,Mujeres,Infancias (0-9),14
28,tamaulipas,Hombres,Jóvenes (20-35),441
28,tamaulipas,Mujeres,Jóvenes (20-35),101
29,tlaxcala,Hombres,Adolescentes (10-19),63
29,tlaxcala,Mujeres,Adolescentes (10-19),30
29,tlaxcala,Hombres,Adultos (36-59),8
29,tlaxcala,Mujeres,Adultos (36-59),18
29,tlaxcala,Hombres,Adultos mayores (60+),8
29,tlaxcala,Mujeres,Adultos mayores (60+),11
29,tlaxcala,Hombres,Infancias (0-9),6
29,tlaxcala,Mujeres,Infancias (0-9),5
29,tlaxcala,Hombres,Jóvenes (20-35),23
29,tlaxcala,Mujeres,Jóvenes (20-35),35
30,veracruz,Hombres,Adolescentes (10-19),121
30,veracruz,Mujeres,Adolescentes (10-19),263
30,veracruz,Hombres,Adultos (36-59),213
30,veracruz,Mujeres,Adultos (36-59),73
30,veracruz,Hombres,Adultos mayores (60+),47
30,veracruz,Mujeres,Adultos mayores (60+),14
30,veracruz,Hombres,Infancias (0-9),17
30,veracruz,Mujeres,Infancias (0-9),26
30,veracruz,Hombres,Jóvenes (20-35),302
30,veracruz,Mujeres,Jóvenes (20-35),142
31,yucatan,Hombres,Adolescentes (10-19),1
31,yucatan,Mujeres,Adolescentes (10-19),3
31,yucatan,Hombres,Adultos (36-59),7
31,yucatan,Mujeres,Adultos (36-59),1
31,yucatan,Hombres,Adultos mayores (60+),6
31,yucatan,Mujeres,Adultos mayores (60+),0
31,yucatan,Hombres,Infancias (0-9),3
31,yucatan,Mujeres,Infancias (0-9),0
31,yucatan,Hombres,Jóvenes (20-35),8
31,yucatan,Mujeres,Jóvenes (20-35),1
32,zacatecas,Hombres,Adolescentes (10-19),125
32,zacatecas,Mujeres,Adolescentes (10-19),129
32,zacatecas,Hombres,Adultos (36-59),227
32,zacatecas,Mujeres,Adultos (36-59),43
32,zacatecas,Hombres,Adultos mayores (60+),34
32,zacatecas,Mujeres,Adultos mayores (60+),4
32,zacatecas,Hombres,Infancias (0-9),9
32,zacatecas,Mujeres,Infancias (0-9),14
32,zacatecas,Hombres,Jóvenes (20-35),363
32,zacatecas,Mujeres,Jóvenes (20-35),87
